Logging to ./multi.log
---------------------------------
| rollout/           |          |
| train/                  |             |
|    approx_kl            | 0.018545236 |
|    clip_fraction        | 0.157       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.29       |
|    explained_variance   | 0.611       |
|    learning_rate        | 0.001       |
|    loss                 | 0.0102      |
|    n_updates            | 14          |
|    policy_gradient_loss | -0.00878    |
|    std                  | 1.01        |
|    value_loss           | 0.239       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 20.4        |
|    ep_rew_mean          | -44.9       |
| time/                   |             |
|    fps                  | 23          |
|    iterations           | 1           |
|    time_elapsed         | 21          |
|    total_timesteps      | 512         |
| train/                  |             |
|    approx_kl            | 0.027339876 |
|    clip_fraction        | 0.175       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.3        |
|    explained_variance   | 0.707       |
|    learning_rate        | 0.001       |
|    loss                 | 0.0426      |
|    n_updates            | 16          |
|    policy_gradient_loss | -0.0127     |
|    std                  | 1.01        |
|    value_loss           | 0.196       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 55.3        |
|    ep_rew_mean          | 262         |
| time/                   |             |
|    fps                  | 26          |
|    iterations           | 2           |
|    time_elapsed         | 38          |
|    total_timesteps      | 1024        |
| train/                  |             |
|    approx_kl            | 0.018413711 |
|    clip_fraction        | 0.112       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.31       |
|    explained_variance   | 0.586       |
|    learning_rate        | 0.001       |
|    loss                 | 0.13        |
|    n_updates            | 18          |
|    policy_gradient_loss | -0.0116     |
|    std                  | 1.02        |
|    value_loss           | 0.422       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 56.6        |
|    ep_rew_mean          | 281         |
| time/                   |             |
|    fps                  | 26          |
|    iterations           | 3           |
|    time_elapsed         | 57          |
|    total_timesteps      | 1536        |
| train/                  |             |
|    approx_kl            | 0.014114714 |
|    clip_fraction        | 0.103       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.31       |
|    explained_variance   | 0.566       |
|    learning_rate        | 0.001       |
|    loss                 | 0.0404      |
|    n_updates            | 20          |
|    policy_gradient_loss | -0.0137     |
|    std                  | 1.02        |
|    value_loss           | 0.224       |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 65           |
|    ep_rew_mean          | 361          |
| time/                   |              |
|    fps                  | 26           |
|    iterations           | 4            |
|    time_elapsed         | 77           |
|    total_timesteps      | 2048         |
| train/                  |              |
|    approx_kl            | 0.0121842995 |
|    clip_fraction        | 0.105        |
|    clip_range           | 0.2          |
|    entropy_loss         | -4.31        |
|    explained_variance   | 0.62         |
|    learning_rate        | 0.001        |
|    loss                 | -0.0191      |
|    n_updates            | 22           |
|    policy_gradient_loss | -0.0093      |
|    std                  | 1.02         |
|    value_loss           | 0.26         |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 32.3        |
|    ep_rew_mean          | 111         |
| time/                   |             |
|    fps                  | 24          |
|    iterations           | 1           |
|    time_elapsed         | 20          |
|    total_timesteps      | 512         |
| train/                  |             |
|    approx_kl            | 0.013099796 |
|    clip_fraction        | 0.0947      |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.31       |
|    explained_variance   | 0.258       |
|    learning_rate        | 0.001       |
|    loss                 | 0.138       |
|    n_updates            | 24          |
|    policy_gradient_loss | -0.00908    |
|    std                  | 1.02        |
|    value_loss           | 0.43        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 84.8        |
|    ep_rew_mean          | 505         |
| time/                   |             |
|    fps                  | 25          |
|    iterations           | 2           |
|    time_elapsed         | 39          |
|    total_timesteps      | 1024        |
| train/                  |             |
|    approx_kl            | 0.015892932 |
|    clip_fraction        | 0.122       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.32       |
|    explained_variance   | 0.296       |
|    learning_rate        | 0.001       |
|    loss                 | 0.00462     |
|    n_updates            | 26          |
|    policy_gradient_loss | -0.0158     |
|    std                  | 1.02        |
|    value_loss           | 0.247       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 78.1        |
|    ep_rew_mean          | 470         |
| time/                   |             |
|    fps                  | 25          |
|    iterations           | 3           |
|    time_elapsed         | 60          |
|    total_timesteps      | 1536        |
| train/                  |             |
|    approx_kl            | 0.019319102 |
|    clip_fraction        | 0.134       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.33       |
|    explained_variance   | 0.598       |
|    learning_rate        | 0.001       |
|    loss                 | -0.00715    |
|    n_updates            | 28          |
|    policy_gradient_loss | -0.00444    |
|    std                  | 1.02        |
|    value_loss           | 0.121       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 78.3        |
|    ep_rew_mean          | 470         |
| time/                   |             |
|    fps                  | 25          |
|    iterations           | 4           |
|    time_elapsed         | 81          |
|    total_timesteps      | 2048        |
| train/                  |             |
|    approx_kl            | 0.011911082 |
|    clip_fraction        | 0.0947      |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.33       |
|    explained_variance   | 0.804       |
|    learning_rate        | 0.001       |
|    loss                 | 0.089       |
|    n_updates            | 30          |
|    policy_gradient_loss | -0.00425    |
|    std                  | 1.03        |
|    value_loss           | 0.23        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 24.7        |
|    ep_rew_mean          | 41.3        |
| time/                   |             |
|    fps                  | 22          |
|    iterations           | 1           |
|    time_elapsed         | 22          |
|    total_timesteps      | 512         |
| train/                  |             |
|    approx_kl            | 0.013740145 |
|    clip_fraction        | 0.104       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.34       |
|    explained_variance   | 0.689       |
|    learning_rate        | 0.001       |
|    loss                 | 0.0657      |
|    n_updates            | 32          |
|    policy_gradient_loss | -0.01       |
|    std                  | 1.03        |
|    value_loss           | 0.369       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 39.2        |
|    ep_rew_mean          | 154         |
| time/                   |             |
|    fps                  | 24          |
|    iterations           | 2           |
|    time_elapsed         | 42          |
|    total_timesteps      | 1024        |
| train/                  |             |
|    approx_kl            | 0.006573269 |
|    clip_fraction        | 0.042       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.36       |
|    explained_variance   | 0.525       |
|    learning_rate        | 0.001       |
|    loss                 | 0.248       |
|    n_updates            | 34          |
|    policy_gradient_loss | -0.00967    |
|    std                  | 1.04        |
|    value_loss           | 0.507       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 47.5        |
|    ep_rew_mean          | 215         |
| time/                   |             |
|    fps                  | 25          |
|    iterations           | 3           |
|    time_elapsed         | 60          |
|    total_timesteps      | 1536        |
| train/                  |             |
|    approx_kl            | 0.020039955 |
|    clip_fraction        | 0.138       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.36       |
|    explained_variance   | -0.181      |
|    learning_rate        | 0.001       |
|    loss                 | 0.0617      |
|    n_updates            | 36          |
|    policy_gradient_loss | -0.0138     |
|    std                  | 1.04        |
|    value_loss           | 0.376       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 57.4        |
|    ep_rew_mean          | 313         |
| time/                   |             |
|    fps                  | 25          |
|    iterations           | 4           |
|    time_elapsed         | 79          |
|    total_timesteps      | 2048        |
| train/                  |             |
|    approx_kl            | 0.016600693 |
|    clip_fraction        | 0.129       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.36       |
|    explained_variance   | 0.27        |
|    learning_rate        | 0.001       |
|    loss                 | 0.041       |
|    n_updates            | 38          |
|    policy_gradient_loss | -0.0133     |
|    std                  | 1.04        |
|    value_loss           | 0.24        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 23.8        |
|    ep_rew_mean          | 48.7        |
| time/                   |             |
|    fps                  | 24          |
|    iterations           | 1           |
|    time_elapsed         | 20          |
|    total_timesteps      | 512         |
| train/                  |             |
|    approx_kl            | 0.013653658 |
|    clip_fraction        | 0.111       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.36       |
|    explained_variance   | 0.0703      |
|    learning_rate        | 0.001       |
|    loss                 | 0.055       |
|    n_updates            | 40          |
|    policy_gradient_loss | -0.00902    |
|    std                  | 1.04        |
|    value_loss           | 0.251       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 59.7        |
|    ep_rew_mean          | 387         |
| time/                   |             |
|    fps                  | 25          |
|    iterations           | 2           |
|    time_elapsed         | 39          |
|    total_timesteps      | 1024        |
| train/                  |             |
|    approx_kl            | 0.010349356 |
|    clip_fraction        | 0.0742      |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.37       |
|    explained_variance   | 0.189       |
|    learning_rate        | 0.001       |
|    loss                 | 0.022       |
|    n_updates            | 42          |
|    policy_gradient_loss | -0.0119     |
|    std                  | 1.04        |
|    value_loss           | 0.318       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 58          |
|    ep_rew_mean          | 356         |
| time/                   |             |
|    fps                  | 24          |
|    iterations           | 3           |
|    time_elapsed         | 63          |
|    total_timesteps      | 1536        |
| train/                  |             |
|    approx_kl            | 0.013683336 |
|    clip_fraction        | 0.117       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.37       |
|    explained_variance   | -0.343      |
|    learning_rate        | 0.001       |
|    loss                 | 0.139       |
|    n_updates            | 44          |
|    policy_gradient_loss | -0.00621    |
|    std                  | 1.04        |
|    value_loss           | 0.392       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 59.7        |
|    ep_rew_mean          | 376         |
| time/                   |             |
|    fps                  | 23          |
|    iterations           | 4           |
|    time_elapsed         | 86          |
|    total_timesteps      | 2048        |
| train/                  |             |
|    approx_kl            | 0.009901106 |
|    clip_fraction        | 0.0781      |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.37       |
|    explained_variance   | 0.327       |
|    learning_rate        | 0.001       |
|    loss                 | 0.161       |
|    n_updates            | 46          |
|    policy_gradient_loss | -0.00972    |
|    std                  | 1.04        |
|    value_loss           | 0.421       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 27.4        |
|    ep_rew_mean          | 72.1        |
| time/                   |             |
|    fps                  | 24          |
|    iterations           | 1           |
|    time_elapsed         | 21          |
|    total_timesteps      | 512         |
| train/                  |             |
|    approx_kl            | 0.012760273 |
|    clip_fraction        | 0.0791      |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.38       |
|    explained_variance   | 0.0817      |
|    learning_rate        | 0.001       |
|    loss                 | 0.135       |
|    n_updates            | 48          |
|    policy_gradient_loss | -0.012      |
|    std                  | 1.04        |
|    value_loss           | 0.53        |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 54.5         |
|    ep_rew_mean          | 329          |
| time/                   |              |
|    fps                  | 24           |
|    iterations           | 2            |
|    time_elapsed         | 42           |
|    total_timesteps      | 1024         |
| train/                  |              |
|    approx_kl            | 0.0069086705 |
|    clip_fraction        | 0.0498       |
|    clip_range           | 0.2          |
|    entropy_loss         | -4.39        |
|    explained_variance   | 0.427        |
|    learning_rate        | 0.001        |
|    loss                 | 0.0384       |
|    n_updates            | 50           |
|    policy_gradient_loss | -0.00557     |
|    std                  | 1.04         |
|    value_loss           | 0.284        |
------------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 57.6       |
|    ep_rew_mean          | 353        |
| time/                   |            |
|    fps                  | 23         |
|    iterations           | 3          |
|    time_elapsed         | 66         |
|    total_timesteps      | 1536       |
| train/                  |            |
|    approx_kl            | 0.01239666 |
|    clip_fraction        | 0.0908     |
|    clip_range           | 0.2        |
|    entropy_loss         | -4.39      |
|    explained_variance   | 0.457      |
|    learning_rate        | 0.001      |
|    loss                 | -0.00228   |
|    n_updates            | 52         |
|    policy_gradient_loss | -0.0138    |
|    std                  | 1.04       |
|    value_loss           | 0.223      |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 63.8        |
|    ep_rew_mean          | 403         |
| time/                   |             |
|    fps                  | 23          |
|    iterations           | 4           |
|    time_elapsed         | 87          |
|    total_timesteps      | 2048        |
| train/                  |             |
|    approx_kl            | 0.017089218 |
|    clip_fraction        | 0.12        |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.38       |
|    explained_variance   | 0.524       |
|    learning_rate        | 0.001       |
|    loss                 | 0.0199      |
|    n_updates            | 54          |
|    policy_gradient_loss | -0.0113     |
|    std                  | 1.04        |
|    value_loss           | 0.247       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 24          |
|    ep_rew_mean          | 47.7        |
| time/                   |             |
|    fps                  | 19          |
|    iterations           | 1           |
|    time_elapsed         | 25          |
|    total_timesteps      | 512         |
| train/                  |             |
|    approx_kl            | 0.011235753 |
|    clip_fraction        | 0.0742      |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.38       |
|    explained_variance   | 0.0947      |
|    learning_rate        | 0.001       |
|    loss                 | -0.0303     |
|    n_updates            | 56          |
|    policy_gradient_loss | -0.00777    |
|    std                  | 1.04        |
|    value_loss           | 0.168       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 36.3        |
|    ep_rew_mean          | 165         |
| time/                   |             |
|    fps                  | 21          |
|    iterations           | 2           |
|    time_elapsed         | 47          |
|    total_timesteps      | 1024        |
| train/                  |             |
|    approx_kl            | 0.016295142 |
|    clip_fraction        | 0.135       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.38       |
|    explained_variance   | 0.248       |
|    learning_rate        | 0.001       |
|    loss                 | 0.172       |
|    n_updates            | 58          |
|    policy_gradient_loss | -0.0114     |
|    std                  | 1.04        |
|    value_loss           | 0.618       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 56.1        |
|    ep_rew_mean          | 348         |
| time/                   |             |
|    fps                  | 22          |
|    iterations           | 3           |
|    time_elapsed         | 69          |
|    total_timesteps      | 1536        |
| train/                  |             |
|    approx_kl            | 0.013365506 |
|    clip_fraction        | 0.0977      |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.39       |
|    explained_variance   | 0.411       |
|    learning_rate        | 0.001       |
|    loss                 | 0.0785      |
|    n_updates            | 60          |
|    policy_gradient_loss | -0.00651    |
|    std                  | 1.05        |
|    value_loss           | 0.225       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 64          |
|    ep_rew_mean          | 416         |
| time/                   |             |
|    fps                  | 22          |
|    iterations           | 4           |
|    time_elapsed         | 90          |
|    total_timesteps      | 2048        |
| train/                  |             |
|    approx_kl            | 0.008244987 |
|    clip_fraction        | 0.0654      |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.39       |
|    explained_variance   | 0.15        |
|    learning_rate        | 0.001       |
|    loss                 | 0.0184      |
|    n_updates            | 62          |
|    policy_gradient_loss | -0.00603    |
|    std                  | 1.05        |
|    value_loss           | 0.174       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 24          |
|    ep_rew_mean          | 67.4        |
| time/                   |             |
|    fps                  | 25          |
|    iterations           | 1           |
|    time_elapsed         | 20          |
|    total_timesteps      | 512         |
| train/                  |             |
|    approx_kl            | 0.009449653 |
|    clip_fraction        | 0.0615      |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.39       |
|    explained_variance   | 0.154       |
|    learning_rate        | 0.001       |
|    loss                 | 0.0449      |
|    n_updates            | 64          |
|    policy_gradient_loss | -0.00709    |
|    std                  | 1.05        |
|    value_loss           | 0.352       |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 88.6       |
|    ep_rew_mean          | 628        |
| time/                   |            |
|    fps                  | 25         |
|    iterations           | 2          |
|    time_elapsed         | 40         |
|    total_timesteps      | 1024       |
| train/                  |            |
|    approx_kl            | 0.01238973 |
|    clip_fraction        | 0.0957     |
|    clip_range           | 0.2        |
|    entropy_loss         | -4.4       |
|    explained_variance   | 0.308      |
|    learning_rate        | 0.001      |
|    loss                 | 0.0098     |
|    n_updates            | 66         |
|    policy_gradient_loss | -0.00643   |
|    std                  | 1.05       |
|    value_loss           | 0.264      |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 78.4        |
|    ep_rew_mean          | 542         |
| time/                   |             |
|    fps                  | 26          |
|    iterations           | 3           |
|    time_elapsed         | 58          |
|    total_timesteps      | 1536        |
| train/                  |             |
|    approx_kl            | 0.019248236 |
|    clip_fraction        | 0.152       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.42       |
|    explained_variance   | 0.417       |
|    learning_rate        | 0.001       |
|    loss                 | 0.137       |
|    n_updates            | 68          |
|    policy_gradient_loss | -0.0069     |
|    std                  | 1.06        |
|    value_loss           | 0.257       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 90.2        |
|    ep_rew_mean          | 655         |
| time/                   |             |
|    fps                  | 26          |
|    iterations           | 4           |
|    time_elapsed         | 78          |
|    total_timesteps      | 2048        |
| train/                  |             |
|    approx_kl            | 0.009474438 |
|    clip_fraction        | 0.0693      |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.43       |
|    explained_variance   | -0.118      |
|    learning_rate        | 0.001       |
|    loss                 | 0.166       |
|    n_updates            | 70          |
|    policy_gradient_loss | -0.0111     |
|    std                  | 1.06        |
|    value_loss           | 0.438       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 11          |
|    ep_rew_mean          | -85.4       |
| time/                   |             |
|    fps                  | 26          |
|    iterations           | 1           |
|    time_elapsed         | 19          |
|    total_timesteps      | 512         |
| train/                  |             |
|    approx_kl            | 0.013995374 |
|    clip_fraction        | 0.105       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.44       |
|    explained_variance   | 0.0622      |
|    learning_rate        | 0.001       |
|    loss                 | 0.0547      |
|    n_updates            | 72          |
|    policy_gradient_loss | -0.0109     |
|    std                  | 1.06        |
|    value_loss           | 0.198       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 103         |
|    ep_rew_mean          | 863         |
| time/                   |             |
|    fps                  | 26          |
|    iterations           | 2           |
|    time_elapsed         | 38          |
|    total_timesteps      | 1024        |
| train/                  |             |
|    approx_kl            | 0.010766559 |
|    clip_fraction        | 0.0771      |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.44       |
|    explained_variance   | -0.0471     |
|    learning_rate        | 0.001       |
|    loss                 | 0.0411      |
|    n_updates            | 74          |
|    policy_gradient_loss | -0.00464    |
|    std                  | 1.06        |
|    value_loss           | 0.196       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 75.5        |
|    ep_rew_mean          | 565         |
| time/                   |             |
|    fps                  | 26          |
|    iterations           | 3           |
|    time_elapsed         | 58          |
|    total_timesteps      | 1536        |
| train/                  |             |
|    approx_kl            | 0.017306007 |
|    clip_fraction        | 0.142       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.43       |
|    explained_variance   | 0.388       |
|    learning_rate        | 0.001       |
|    loss                 | 0.00364     |
|    n_updates            | 76          |
|    policy_gradient_loss | -0.0087     |
|    std                  | 1.06        |
|    value_loss           | 0.11        |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 85.8       |
|    ep_rew_mean          | 666        |
| time/                   |            |
|    fps                  | 26         |
|    iterations           | 4          |
|    time_elapsed         | 76         |
|    total_timesteps      | 2048       |
| train/                  |            |
|    approx_kl            | 0.01067706 |
|    clip_fraction        | 0.082      |
|    clip_range           | 0.2        |
|    entropy_loss         | -4.43      |
|    explained_variance   | 0.0923     |
|    learning_rate        | 0.001      |
|    loss                 | 0.264      |
|    n_updates            | 78         |
|    policy_gradient_loss | -0.0104    |
|    std                  | 1.06       |
|    value_loss           | 0.559      |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 44          |
|    ep_rew_mean          | 243         |
| time/                   |             |
|    fps                  | 25          |
|    iterations           | 1           |
|    time_elapsed         | 20          |
|    total_timesteps      | 512         |
| train/                  |             |
|    approx_kl            | 0.020640424 |
|    clip_fraction        | 0.157       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.43       |
|    explained_variance   | -0.32       |
|    learning_rate        | 0.001       |
|    loss                 | -0.0497     |
|    n_updates            | 80          |
|    policy_gradient_loss | -0.0145     |
|    std                  | 1.06        |
|    value_loss           | 0.0985      |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 77.7       |
|    ep_rew_mean          | 603        |
| time/                   |            |
|    fps                  | 24         |
|    iterations           | 2          |
|    time_elapsed         | 41         |
|    total_timesteps      | 1024       |
| train/                  |            |
|    approx_kl            | 0.01599051 |
|    clip_fraction        | 0.102      |
|    clip_range           | 0.2        |
|    entropy_loss         | -4.44      |
|    explained_variance   | -0.0576    |
|    learning_rate        | 0.001      |
|    loss                 | 0.0721     |
|    n_updates            | 82         |
|    policy_gradient_loss | -0.0146    |
|    std                  | 1.06       |
|    value_loss           | 0.331      |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 75.7        |
|    ep_rew_mean          | 577         |
| time/                   |             |
|    fps                  | 25          |
|    iterations           | 3           |
|    time_elapsed         | 59          |
|    total_timesteps      | 1536        |
| train/                  |             |
|    approx_kl            | 0.009849435 |
|    clip_fraction        | 0.0742      |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.45       |
|    explained_variance   | 0.236       |
|    learning_rate        | 0.001       |
|    loss                 | 0.0748      |
|    n_updates            | 84          |
|    policy_gradient_loss | -0.00751    |
|    std                  | 1.07        |
|    value_loss           | 0.329       |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 86.1         |
|    ep_rew_mean          | 688          |
| time/                   |              |
|    fps                  | 26           |
|    iterations           | 4            |
|    time_elapsed         | 77           |
|    total_timesteps      | 2048         |
| train/                  |              |
|    approx_kl            | 0.0062196073 |
|    clip_fraction        | 0.0449       |
|    clip_range           | 0.2          |
|    entropy_loss         | -4.45        |
|    explained_variance   | 0.2          |
|    learning_rate        | 0.001        |
|    loss                 | 0.0384       |
|    n_updates            | 86           |
|    policy_gradient_loss | -0.00624     |
|    std                  | 1.07         |
|    value_loss           | 0.25         |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 26.5        |
|    ep_rew_mean          | 62.9        |
| time/                   |             |
|    fps                  | 27          |
|    iterations           | 1           |
|    time_elapsed         | 18          |
|    total_timesteps      | 512         |
| train/                  |             |
|    approx_kl            | 0.016646773 |
|    clip_fraction        | 0.116       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.46       |
|    explained_variance   | 0.126       |
|    learning_rate        | 0.001       |
|    loss                 | 0.161       |
|    n_updates            | 88          |
|    policy_gradient_loss | -0.0142     |
|    std                  | 1.07        |
|    value_loss           | 0.434       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 84.4        |
|    ep_rew_mean          | 680         |
| time/                   |             |
|    fps                  | 27          |
|    iterations           | 2           |
|    time_elapsed         | 36          |
|    total_timesteps      | 1024        |
| train/                  |             |
|    approx_kl            | 0.005661166 |
